,time,weathercode,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,capital_cities
56,2021-11-14,61,10.3,7.7,9.5,5.8,2021-11-14T07:55,2021-11-14T16:59,0.52,7,12.5,12.3,44,1.89,Brussels
57,2021-11-15,3,8.8,5.5,6.1,3.1,2021-11-15T07:56,2021-11-15T16:57,0.0,0,10.9,12.2,45,2.12,Brussels
58,2021-11-16,3,7.7,5.9,5.5,3.9,2021-11-16T07:58,2021-11-16T16:56,0.06,6,8.2,6.1,336,2.29,Brussels
59,2021-11-17,3,11.0,5.8,8.9,3.2,2021-11-17T08:00,2021-11-17T16:55,0.03,3,14.3,18.1,238,3.02,Brussels
60,2021-11-18,3,10.0,5.6,8.2,2.8,2021-11-18T08:01,2021-11-18T16:53,0.0,0,13.9,19.6,229,4.34,Brussels
61,2021-11-19,3,12.9,9.7,11.5,8.4,2021-11-19T08:03,2021-11-19T16:52,0.06,6,11.1,14.5,255,2.37,Brussels
62,2021-11-20,3,11.6,8.7,9.6,6.9,2021-11-20T08:05,2021-11-20T16:51,0.07,7,18.6,15.6,237,3.15,Brussels
63,2021-11-12,45,10.2,6.4,8.8,5.2,2021-11-12T06:35,2021-11-12T16:25,0.0,0,5.5,2.3,292,5.13,Sarajevo
64,2021-11-13,3,12.8,4.6,11.8,1.9,2021-11-13T06:37,2021-11-13T16:24,0.0,0,7.4,1.8,70,7.97,Sarajevo
65,2021-11-14,61,12.7,7.6,12.4,5.7,2021-11-14T06:38,2021-11-14T16:23,0.56,8,6.5,3.1,50,4.65,Sarajevo
66,2021-11-15,3,10.9,6.3,9.5,4.7,2021-11-15T06:39,2021-11-15T16:22,0.0,0,7.5,1.9,302,4.78,Sarajevo
67,2021-11-16,3,9.6,3.7,7.9,1.3,2021-11-16T06:41,2021-11-16T16:21,0.0,0,6.8,3.3,51,7.95,Sarajevo
68,2021-11-17,45,10.4,4.5,8.8,2.2,2021-11-17T06:42,2021-11-17T16:20,0.01,1,5.1,1.4,79,6.99,Sarajevo
69,2021-11-18,45,7.5,5.6,5.5,3.8,2021-11-18T06:43,2021-11-18T16:19,0.14,14,5.9,2.5,274,1.46,Sarajevo
70,2021-11-19,3,8.6,2.5,6.7,0.2,2021-11-19T06:44,2021-11-19T16:19,0.04,4,5.3,4.8,243,6.55,Sarajevo
71,2021-11-20,45,13.6,3.9,12.9,1.2,2021-11-20T06:46,2021-11-20T16:18,0.05,5,8.8,6.3,157,5.29,Sarajevo
72,2021-11-12,45,10.9,2.0,8.6,-0.3,2021-11-12T06:13,2021-11-12T16:08,0.0,0,4.4,0.7,47,9.34,Sofia
73,2021-11-13,45,11.5,1.8,8.8,-0.1,2021-11-13T06:14,2021-11-13T16:07,0.0,0,5.1,2.0,57,9.36,Sofia
